Verifier File,Total Instances,Expected SAT Count,Correct SAT Results,False SAT Results,Expected UNSAT Count,Correct UNSAT Results,False UNSAT Results,Timeout,Unknown
vnn_result_abcrown.csv,100,50,0,0,50,8,0,91,1
vnn_result_marabou.csv,100,50,50,0,50,0,0,50,0
